Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,
CYP27B1,5.861111111,2,0.341232227,-1.551174183,-0.466949959,,
SVEP1,1.438709677,0.5,0.347533632,-1.524775491,-0.459003161,,
NYAP2,5.717241379,2,0.349819059,-1.515319198,-0.456156533,,
PROKR2,0.570588235,0.2,0.350515463,-1.512449999,-0.455292818,,
NOS3,1.414285714,0.5,0.353535353,-1.5000736,-0.451567151,,
GCKR,0.27826087,0.1,0.359374999,-1.476438045,-0.44445214,,
SELPLG,0.833333333,0.3,0.36,-1.473931186,-0.4436975,,
F13A1,0.273333333,0.1,0.365853657,-1.45066141,-0.436692599,,
SALL4,8.114705882,3,0.369699166,-1.435576301,-0.432151529,,
E2F7,50.71428571,19,0.374647887,-1.416392775,-0.426376712,,
RBM38,125.4166667,47,0.374750831,-1.415996415,-0.426257396,,
GAA,69.11111111,26,0.376205788,-1.410406047,-0.424574527,,
DEF6,7.719444444,3,0.388629003,-1.363534519,-0.410464791,,
AGBL3,2.522222222,1,0.396475771,-1.334695388,-0.401783348,,
MS4A12,0.5,0.2,0.399999999,-1.321928094,-0.39794001,,
SCN4A,0.614285714,0.25,0.406976744,-1.296981737,-0.390430408,,
RASAL2,14.73055556,6,0.407316613,-1.295777433,-0.390067876,,
INPP5J,9.763888889,4,0.409672831,-1.287455874,-0.387562837,,
ABCA9,0.238461538,0.1,0.419354837,-1.253756595,-0.377418343,,
NPR1,1.406060606,0.6,0.426724138,-1.228624373,-0.369852791,,
KAT2B,18.66666667,8,0.428571429,-1.222392418,-0.367976785,,
ZNF680,20.66666667,9,0.435483871,-1.199308805,-0.361027925,,
MYT1L,4.493333333,2,0.445103857,-1.167786088,-0.351538642,,
FOXD4,1.794285714,0.8,0.445859872,-1.16533773,-0.350801613,,
HDC,0.443478261,0.2,0.450980391,-1.148863386,-0.345842341,,
RPUSD2,19.88888889,9,0.452513966,-1.143965771,-0.344368012,,
PLCH1,8.82,4,0.453514739,-1.140778653,-0.343408594,,
LTN1,37.22222222,17,0.456716418,-1.13062944,-0.340353376,,
NT5DC3,19.52777778,9,0.460881935,-1.117530873,-0.336410315,,
KPNA5,15.13888889,7,0.462385321,-1.112832493,-0.334995962,,
TNXB,0.428571429,0.2,0.466666666,-1.099535674,-0.33099322,,
ABCA5,23.49722222,11,0.468140442,-1.094986689,-0.329623839,,
ZNF543,12.80555556,6,0.468546638,-1.093735435,-0.329247174,,
RNASET2,4.211111111,2,0.474934037,-1.074200939,-0.323366705,,
TG,0.21,0.1,0.476190474,-1.070389332,-0.322219297,,
C3orf22,0.413043478,0.2,0.484210525,-1.046293653,-0.314965775,,
GFPT2,1.805555556,0.9,0.498461538,-1.004445903,-0.302368347,,
HYDIN,0.6,0.3,0.499999999,-1,-0.301029996,,
CRELD2,25.61111111,13,0.507592191,-0.978258218,-0.294485068,,
GMIP,17.33333333,9,0.519230769,-0.945552213,-0.28463958,,
ENPP4,38.08333333,20,0.525164114,-0.929159757,-0.279704958,,
CNTN5,1.523076923,0.8,0.525252525,-0.9289169,-0.279631851,,
ASB5,0.757692308,0.4,0.527918781,-0.9216121,-0.277432887,,
SOWAHA,13.10277778,7,0.534237863,-0.904445865,-0.272265335,,
ARHGAP32,44.72222222,24,0.536645963,-0.897957468,-0.270312134,,
MAGEC3,0.735294118,0.4,0.543999999,-0.878321443,-0.264401101,,
NFATC4,12.83888889,7,0.54521852,-0.875093524,-0.2634294,,
NFASC,23.82222222,13,0.545708955,-0.873796373,-0.263038919,,
DNAJC16,14.36111111,8,0.557059961,-0.844095466,-0.254098055,,
GPR155,8.95,5,0.558659218,-0.839959585,-0.252853031,,
CDC42BPG,28.61944444,16,0.559060468,-0.838923759,-0.252541216,,
EME2,14.16666667,8,0.564705882,-0.824428433,-0.248177688,,
SPEG,9.661764706,5.5,0.569254186,-0.812855098,-0.244693767,,
ZNF823,10.52777778,6,0.569920844,-0.811166534,-0.244185459,,
PCDHGA12,0.348484848,0.2,0.573913042,-0.801095933,-0.241153906,,
CSH2,1.733333333,1,0.576923077,-0.793549121,-0.238882089,,
KIAA2026,24.11111111,14,0.580645161,-0.784271307,-0.236089189,,
HDAC9,18.56944444,11,0.59237098,-0.755427128,-0.227406226,,
PRKDC,253.9444444,151,0.594618245,-0.74996436,-0.225761769,,
TEX14,3.341666667,2,0.59850374,-0.740567829,-0.222933131,,
DNAH7,0.5,0.3,0.599999999,-0.736965595,-0.22184875,,
C1S,3.322222222,2,0.602006689,-0.732148576,-0.220398683,,
