Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,
FMO4,3.042424242,6,1.972111553,0.979741161,0.294931477,
LTBP4,41.91428571,87,2.075664622,1.053573358,0.317157183,
PRKAA2,13.30285714,28,2.104810996,1.073690692,0.323213104,
DUOX1,2.831428571,6,2.119071644,1.083432366,0.32614564,
LPIN3,5.658823529,12.5,2.208939709,1.143354043,0.344183862,
DYNC1I2,82.54285714,184,2.229145033,1.156490485,0.348138326,
MVD,40.48571429,95,2.346506704,1.230514583,0.370421799,
BLK,2.852173913,7,2.454268292,1.295292968,0.389922037,
HGF,18.44210526,46,2.494292237,1.318630505,0.396947335,
NKX2-4,10.82068966,27,2.495219885,1.319166956,0.397108823,
PABPC1,676.9428571,1693,2.500949648,1.322476012,0.398104948,
UTP20,36.77142857,96,2.610722611,1.38444918,0.41676073,
F8,2.237142857,6,2.681992336,1.423305115,0.428457532,
KLKB1,0.745454545,2,2.682926826,1.423807708,0.428608828,
TPTE,1.4,4,2.857142855,1.514573172,0.455931955,
RNF135,6.290322581,19,3.02051282,1.59479351,0.480080683,
NRROS,2.9,9,3.103448275,1.633872101,0.491844511,
SLC22A1,0.8625,3,3.478260866,1.798366138,0.54136215,
GLI1,1.075757576,4,3.718309856,1.894646999,0.570345578,
GAL3ST3,2.777419355,11,3.960511032,1.985686596,0.597751227,
SLC6A17,10.43636364,42,4.024390244,2.00877021,0.604700087,
CHST1,11.65483871,54,4.633268751,2.212030368,0.665887492,
RFX4,1.371428571,9,6.562499995,2.714245517,0.817069316,
PCDH11Y,0.4375,4,9.142857122,3.192645075,0.961081933,
DYSF,0.655882353,6,9.147982049,3.193453535,0.961325304,
SCN1A,3.410714286,42,12.31413612,3.622243516,1.09040395,0.640776699
