Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
EXOC3,39.20588235,48.66666667,1.241310328,0.311863835,0.093880369
POM121C,26.58333333,33,1.24137931,0.311944007,0.093904503
SRCIN1,17.70833333,22,1.242352941,0.313075089,0.094244992
DYNC1H1,89.27777778,111,1.243310516,0.314186655,0.094579607
CCKAR,2.408695652,3,1.245487364,0.316710386,0.095339326
PKD1,33.69444444,42,1.24649629,0.31787859,0.09569099
SF3A2,127.3611111,159,1.248418757,0.320101939,0.096360285
RAB28,44.80555556,56,1.249845009,0.321749201,0.09685616
ACSBG2,0.8,1,1.249999998,0.321928094,0.096910012
GNAS,356.8333333,448,1.25548809,0.328248344,0.098812597
AGAP3,42.91666667,54,1.258252427,0.331421382,0.099767777
CELSR3,42.04444444,53,1.260570824,0.334077179,0.100567251
CYLD,13.47222222,17,1.26185567,0.335546907,0.101009684
KAT8,41.16666667,52,1.263157895,0.337034988,0.101457641
KMT2B,47.5,60,1.263157895,0.337034988,0.101457641
SLC52A2,60.16666667,76,1.263157895,0.337034988,0.101457641
ALG2,41.88888889,53,1.265251989,0.339424744,0.102177029
IREB2,47.41666667,60,1.265377856,0.339568255,0.10222023
SOCS1,2.369444444,3,1.266119577,0.340413666,0.102474724
UNKL,15,19,1.266666667,0.341036919,0.102662342
PCDHB12,3.945714286,5,1.267197683,0.341641603,0.10284437
PLEKHG4,30.37142857,38.5,1.267638758,0.342143677,0.102995509
TMPRSS7,0.631034483,0.8,1.267759561,0.342281156,0.103036894
PXDNL,0.393939394,0.5,1.269230766,0.343954399,0.103540591
MAPK13,48.83333333,62,1.269624573,0.344401958,0.10367532
SPTY2D1,27.44444444,35,1.275303644,0.350840788,0.105613601
BIRC5,212.3888889,271,1.275961287,0.351584559,0.105837498
C5orf38,14.10434783,18,1.276202219,0.351856949,0.105919496
CMTR1,71.22222222,91,1.277691108,0.353539096,0.106425872
MECR,19.52777778,25,1.280227596,0.356400313,0.107287184
SLCO5A1,15.62058824,20,1.280361514,0.356551218,0.107332611
SARDH,13.25757576,17,1.282285714,0.358717755,0.107984804
SSUH2,0.54516129,0.7,1.284023666,0.360671795,0.108573028
CNOT1,144.6666667,186,1.285714286,0.36257008,0.109144469
NBPF1,12.38888889,16,1.291479821,0.369025103,0.111087625
CUL5,38.66666667,50,1.293103448,0.370837696,0.11163327
PSKH1,30.91666667,40,1.293800539,0.37161522,0.111867328
ALCAM,113.45,147,1.295724989,0.373759547,0.112512835
LRRC8E,0.462962963,0.6,1.295999997,0.374065716,0.112605001
L1CAM,53.95555556,70,1.297364086,0.375583408,0.113061871
MAD2L1,103.25,134,1.297820823,0.37609122,0.113214738
ZNF529,15.38888889,20,1.299638989,0.378110931,0.113822732
OSBP,93.75,122,1.301333333,0.379990553,0.114388554
PATL1,84.5,110,1.301775148,0.380480278,0.114535976
AMOT,11.50285714,15,1.304023845,0.382970252,0.115285533
PFKL,57.5,75,1.304347826,0.383328641,0.115393419
RBBP6,44.02857143,57.5,1.305970149,0.385121922,0.11593325
