Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	NCIH2029_LUNG	NCIH2029_LUNG	69	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	NA	ACH-000298	NA	171.6	NA	Caucasian	0.6534	5%DMSO	0	NA	DMEM:HAM's F12  1:1  + 5%  FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	293	89.90036362	NCI-H2029	SCLC	Lung:SCLC	1.9	Lung	NA	NA	1	Caucasian	1	Metastasis	Female	lymph_node	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	86	9.96666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2066_LUNG	NCIH2066_LUNG	70	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	NA	ACH-000727	NA	80.3	NA	Caucasian	0.3875	5%DMSO	1	NA	DMEM:HAM's F12  1:1 (ATCC catalog # 30-2006) + 5%  FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	607	161.4303635	NCI-H2066	SCLC	Lung:SCLC	2.27	Lung	14	128c	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	280	20.3666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2081_LUNG	NCIH2081_LUNG	59	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	NIBRI	NA	ACH-000394	NA	NA	NA	Caucasian	0.6750	NA	1	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	445	111.3986434	NCI-H2081	SCLC	Lung:SCLC	3.09	Lung	NA	NA	1	Caucasian	1	Metastasis	Female	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	292	15.0666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH209_LUNG	NCIH209_LUNG	55	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	Suspension	ACH-000290	lung_cancer	115.6	NA	Caucasian	0.3355	5%DMSO	0	NA	RPMI-1640+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	276	98.23803075	NCI-H209	SCLC	Lung:SCLC	2.04	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	bone_marrow	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	58	9.36666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2107	NCIH2107	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	NA	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	NA	NA	NA
ccle_broad_2019	NCIH211_LUNG	NCIH211_LUNG	50	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Suspension	ACH-000639	NA	176	NA	Caucasian	0.6746	5% DMSO	0	NA	RPMI-1640+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	436	144.3860352	NCI-H211	SCLC	Lung:SCLC	1.92	Lung	NA	NA	1	Caucasian	1	Metastasis	Female	bone_marrow	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	247	14.7	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2141_LUNG	NCIH2141_LUNG	58	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	suspension; lots of debris	ACH-001138	NA	136	NA	Caucasian	0.6378	5%DMSO	1	NA	DMEM:HAM's F12  1:1 + 5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	513	NA	NCI-H2141	SCLC	NA	3	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	lymph_node	NS	NS	NS	Small Cell Lung Cancer (SCLC)	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 2 mM L-glutamine	NA	17.2666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2171_LUNG	NCIH2171_LUNG	50	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Suspension; floating clusters	ACH-000525	NA	86.1	NA	Caucasian	0.6360	5% DMSO	0	NA	DMEM:F12+5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	345	123.3168857	NCI-H2171	SCLC	Lung:SCLC	1.82	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	5ug/ml insulin, 10ug/ml transferrin, 30nM Na Selenite, 10nM Hydrocortisone, 10nM Beta-estradiol, 10mM HEPES, 2mM L-glutamine	152	11.7333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2196_LUNG	NCIH2196_LUNG	67	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Adherent	ACH-000399	NA	89.9	NA	Caucasian	0.8909	5% DMSO	0	NA	DMEM:F12+5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	326	102.005835	NCI-H2196	SCLC	Lung:SCLC	1.79	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	bone_marrow	NS	NS	NS	Small Cell Lung Cancer (SCLC)	5ug/ml insulin, 10ug/ml transferrin, 30nM Na Selenite, 10nM Hydrocortisone, 10nM Beta-estradiol, 10mM HEPES, 2mM L-glutamine	114	11.3333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH220	NCIH220	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	NA	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	NA	NA	NA
ccle_broad_2019	NCIH2227_LUNG	NCIH2227_LUNG	54	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	mixed	ACH-000610	NA	187.6	NA	Caucasian	0.8996	5%DMSO	1	NA	DMEM:HAM's F12  1:1  +5% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	463	136.788956	NCI-H2227	SCLC	Lung:SCLC	2.52	Lung	NA	NA	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	0.005 mg/ml Insulin, 0.01 mg/ml transferrin, 30 nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 1 mM L-glutamine	55	15.5333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH2286_LUNG	NCIH2286_LUNG	57	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-000912	NA	77.8	NA	Caucasian	0.3080	NA	0	NA	NA	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	1408	316.7710366	NCI-H2286	SCLC	Lung:SCLC	1.86	Lung	19	130n	0.99	Caucasian	1	Primary	Female	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	82	47.5666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH250_LUNG	NCIH250_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-002171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	698	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	23.3333333333	NA	lung_small_cell
ccle_broad_2019	NCIH345_LUNG	NCIH345_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-001364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	701	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	23.3333333333	NA	lung_small_cell
ccle_broad_2019	NCIH378_LUNG	NCIH378_LUNG	NA	NA	Small Cell Lung Cancer	Small Cell Lung Cancer	NA	NA	ACH-002173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	SCLC	369	NA	NA	SCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Small Cell Lung Cancer (SCLC)	NA	NA	12.3666666667	NA	lung_small_cell
ccle_broad_2019	NCIH446_LUNG	NCIH446_LUNG	61	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Mixed; adherent and suspension	ACH-000800	NA	294	NA	Caucasian	0.5109	5% DMSO	1	NA	RPMI-1640+10%FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	956	177.0097006	NCI-H446	SCLC	Lung:SCLC	3.16	Lung	38	130n	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	146	32.1	lung_small_cell	lung_small_cell
ccle_broad_2019	NCIH510_LUNG	NCIH510_LUNG	56	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	mixed line	ACH-000871	NA	979	NA	Caucasian	0.6663	5% DMSO	1	NA	F-12K  ATCC  + 10% FBS	small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	SCLC	1180	259.731865	NCI-H510	SCLC	Lung:SCLC	2.77	Lung	NA	NA	0.99	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	225	39.5	lung_small_cell	lung_small_cell
