Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Histology	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Sub-subtype	Lineage Subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	Tumor Break Load	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	HCC2108_LUNG	HCC2108_LUNG	59	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KCLB	Epithelial Monolayer	ACH-000314	NA	62.3	NA	Caucasian	NA	5-7.5%DMSO	NA	NA	RPMI+10%FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	959	107.6232242	HCC-2108	LUAD	Lung:NSCLC_Adeno	NA	Lung	NA	NA	NA	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	31.9666666667	lung_NSC	lung_NSC
ccle_broad_2019	HCC2279_LUNG	HCC2279_LUNG	52	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	KCLB	epithelial; monolayer	ACH-000731	lung_cancer	NA	NA	Asian	0.9647	NA	1	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBs),10%	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	127	189.5257761	HCC-2279	LUAD	Lung:NSCLC_Adeno	2.68	Lung	NA	NA	0.99	Asian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	25mM Hepes and 25mM NaHCo3	NA	4.2	lung_NSC	lung_NSC
ccle_broad_2019	HCC2429_LUNG	HCC2429_LUNG	NA	NA	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	NA	NA	ACH-000143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NA	NSCLC	161	NA	NA	NSCLC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	NA	5.53333333333	NA	NA
ccle_broad_2019	HCC2450_LUNG	HCC2450_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	NA	NA	ACH-000975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC_squamous	NSCLC	2507	NA	NA	LUSC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	NA	83.7333333333	NA	NA
ccle_broad_2019	HCC2814_LUNG	HCC2814_LUNG	NA	ACHILLES	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	NA	NA	ACH-000690	NA	NA	NA	Caucasian	0.7455	NA	1	NA	NA	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	218	136.4879764	HCC-2814	LUSC	NA	3.31	Lung	NA	NA	0.98	NA	1	NA	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	NA	7.26666666667	lung_NSC	lung_NSC
ccle_broad_2019	HCC2935_LUNG	HCC2935_LUNG	39	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ATCC	Adherent epithelial	ACH-000150	lung_cancer	115.9	NA	Caucasian	0.6607	5%DMSO	0	NA	RPMI-1640 + 10% FBS	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	138	84.68601916	HCC2935	LUAD	Lung:NSCLC_Others	1.52	Lung	NA	NA	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	4.6	lung_NSC	lung_NSC
ccle_broad_2019	HCC364_LUNG	HCC364_LUNG	NA	ACHILLES	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000575	NA	NA	NA	Caucasian	0.5933	NA	1	NA	NA	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	84	125.3439438	HCC364	LUAD	NA	3.78	Lung	NA	NA	0.98	NA	1	NA	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	2.83333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC366_LUNG	HCC366_LUNG	80	CCLE	Non-Small Cell Lung Cancer	Lung Adenosquamous Carcinoma	DSMZ	Adhrent cells growing as monolayers; dt=30-40hrs	ACH-000840	lung_cancer	176	30-40 hrs	Caucasian	0.8425	10% DMSO	1	NA	RPMI-1640+10%FBS	mixed_adenosquamous_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenosquamous	NSCLC	564	220.2101945	HCC-366	LUAS	Lung:NSCLC_Adeno	2.48	Lung	NA	NA	1	NA	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma	NA	NA	18.9	lung_NSC	lung_NSC
ccle_broad_2019	HCC4006_LUNG	HCC4006_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ATCC	Adherent epithelial	ACH-000066	lung_cancer	108.7	NA	Caucasian	0.5322	5%DMSO	1	NA	RPMI-1640 + 10% FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	146	89.30922036	HCC4006	LUAD	Lung:NSCLC_Adeno	3.47	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	4.9	lung_NSC	lung_NSC
ccle_broad_2019	HCC44_LUNG	HCC44_LUNG	54	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	DSMZ	Adhrent cells growing as monolayers; dt=30hrs	ACH-000667	lung_cancer	33	30	Caucasian	0.4706	10% DMSO	2	NA	RPMI-1640+10%FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	464	142.2243369	HCC-44	LUAD	Lung:NSCLC_Adeno	7.74	Lung	21	127c	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	113	15.6	lung_NSC	lung_NSC
ccle_broad_2019	HCC461_LUNG	HCC461_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	240	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	8.06666666667	NA	NA
ccle_broad_2019	HCC515_LUNG	HCC515_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000872	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	1093	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	36.6333333333	NA	NA
ccle_broad_2019	HCC78_LUNG	HCC78_LUNG	65	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	DSMZ	Adhrent and aggregates; dt=60-70hrs	ACH-000562	lung_cancer	33	60-70 hrs	Caucasian	0.4054	10% DMSO	0	NA	RPMI-1640+10%FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	333	101.6889757	HCC-78	LUAD	Lung:NSCLC_Adeno	2.15	Lung	NA	NA	0.97	Caucasian	1	Metastasis	Male	pleura	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	11.1333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC827_LUNG	HCC827_LUNG	39	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	ATCC	Adherent	ACH-000012	lung_cancer	117.6	NA	Caucasian	0.5552	5%DMSO	1	NA	RPMI-1640 10% FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	201	82.92654033	HCC827	LUAD	Lung:NSCLC_Adeno	2.74	Lung	10	126	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	92	7.13333333333	lung_NSC	lung_NSC
ccle_broad_2019	HCC827GR5_LUNG	HCC827GR5_LUNG	NA	ACHILLES	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-000029	NA	NA	NA	Caucasian	NA	NA	NA	NA	NA	non_small_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	303	102.7949058	HCC827 GR5	LUAD	NA	NA	Lung	NA	NA	NA	NA	1	NA	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	10.4	lung_NSC	lung_NSC
ccle_broad_2019	HCC95_LUNG	HCC95_LUNG	65	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	KCLB	epithelial; monolayer	ACH-000454	lung_cancer	NA	NA	Caucasian	0.6685	NA	1	NA	RPMI 1640  with L-glutamine (300mg/L), 90%; heat inactivated fetal bovine serum (FBS),10%	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_squamous	NSCLC	241	115.3890534	HCC-95	LUSC	Lung:NSCLC_Squamous	2.55	Lung	11	127c	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	25mM Hepes and 25mM NaHCo3	214	8.23333333333	lung_NSC	lung_NSC
ccle_broad_2019	HLC1_LUNG	HLC1_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-001088	NA	NA	NA	Asian	0.4814	NA	1	NA	NA	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	NA	NA	HLC-1	LUAD	NA	2.36	Lung	NA	NA	0.99	NA	1	Primary	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	NA	lung_NSC	lung_NSC
ccle_broad_2019	HLFA_FIBROBLAST	HLFA_FIBROBLAST	54	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	GNF	Adherent Fibroblast	ACH-000797	NA	NA	NA	African_american	NA	5%DMSO	0	NA	EMEM+10%FBS	squamous_cell_carcinoma	NS	NS	Carcinoma	NA	fibroblast	NA	NA	fibroblast_lung	193	163.0529962	HLF-a	LUSC	Lung:NSCLC_Squamous	2	Lung	NA	NA	0.98	African_American	1	Primary	Female	NA	NS	NS	NS	Lung	NA	NA	6.6	liver	fibroblast_like
ccle_broad_2019	HOP62_LUNG	HOP62_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Garraway Lab	Adherent	ACH-000861	NA	37.8	NA	Caucasian	0.5961	5% DMSO	NA	NA	RPMI-1640+ 5% FBS	adenocarcinoma	NS	NS	Carcinoma	NA	lung	NA	NSCLC_adenocarcinoma	NSCLC	532	236.5238841	HOP-62	LUAD	Lung:NSCLC_Others	NA	Lung	NA	NA	NA	NA	1	Primary	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	17.9666666667	lung_NSC	lung_NSC
ccle_broad_2019	HOP92_LUNG	HOP92_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	Garraway Lab	Mix	ACH-000825	NA	122.2	NA	Caucasian	0.5254	5% DMSO	NA	NA	RPMI-1640+ 5% FBS	large_cell_carcinoma	NS	NS	Carcinoma	NA	lung	NA	NA	NSCLC	434	198.739234	HOP-92	NSCLC	Lung:NSCLC_Others	NA	Lung	NA	NA	NA	NA	1	Primary	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	NA	14.4	lung_NSC	lung_NSC
